type	public_code	ur_code_legacy	XML_root_legacy	XML_element_legacy	description_LV	description_EN
area_of_activity	ADVOCACY	IAO	LegalEntityExtenedStructure	BusinessAreaForm	Intereðu aizstâvîbas organizâciju darbîba	Advocacy work
area_of_activity	ARCHITECTURE_RESTORATION	ARH	LegalEntityExtenedStructure	BusinessAreaForm	Arhitektûra un restaurâcija	Architecture and restoration
area_of_activity	ASSOCIATION_OF_EMPLOYERS_ORGANISATIONS	DDA	LegalEntityExtenedStructure	BusinessAreaForm	Darba devçju organizâciju apvienîba	Association of Employers' Organisations
area_of_activity	BOOK_PUBLISHING	GRA	LegalEntityExtenedStructure	BusinessAreaForm	Grâmatu izdoðana	Book publishing
area_of_activity	CONSERVATION_OF_NATURAL_RESOURCES	DRA	LegalEntityExtenedStructure	BusinessAreaForm	Dabas resursu aizsardzîba un ilgtspçjîga izmantoðana	Conservation and sustainable use of natural resources
area_of_activity	CRIME_PREVENTION	NOP	LegalEntityExtenedStructure	BusinessAreaForm	Noziegumu profilakse	Crime prevention
area_of_activity	CULTURE_EXCHANGE	KUA	LegalEntityExtenedStructure	BusinessAreaForm	Kultûras apmaiòa	Culture exchange
area_of_activity	CUSTOMER_RIGHTS_PROTECTION	PAT	LegalEntityExtenedStructure	BusinessAreaForm	Patçrçtâju tiesîbu aizsardzîba	Customer rights protection
area_of_activity	DESIGN	DIZ	LegalEntityExtenedStructure	BusinessAreaForm	Dizains	Design
area_of_activity	DEVELOPMENT_COOPERATION	ATS	LegalEntityExtenedStructure	BusinessAreaForm	Attîstîbas sadarbîba	Development cooperation
area_of_activity	DIRECTORY_PUBLISHING	IKI	LegalEntityExtenedStructure	BusinessAreaForm	Izziòu katalogu izdoðana	Publishing of directories and mailing lists 
area_of_activity	ECONOMIC_DEVELOPMENT	EKA	LegalEntityExtenedStructure	BusinessAreaForm	Ekonomiskâ attîstîba	Economic development
area_of_activity	EDUCATION	IZG	LegalEntityExtenedStructure	BusinessAreaForm	Izglîtîba	Education
area_of_activity	EMPLOYERS_ORGANISATION	DDO	LegalEntityExtenedStructure	BusinessAreaForm	Darba devçju organizâcija	Employers' Organisation
area_of_activity	ENVIRONMENTAL_AWARENESS	VIA	LegalEntityExtenedStructure	BusinessAreaForm	Vides apziòa	Environmental awareness
area_of_activity	ENVIRONMENTAL_CLEANING	VIS	LegalEntityExtenedStructure	BusinessAreaForm	Vides sakopðana	Environmental cleaning
area_of_activity	ENVIRONMENTAL_PROTECTION	VAP	LegalEntityExtenedStructure	BusinessAreaForm	Vides aizsardzîba. Piesâròojuma samazinâðana un kontrole	Environmental protection. Pollution prevention and control
area_of_activity	FILMMAKING	FIP	LegalEntityExtenedStructure	BusinessAreaForm	Filmu producçðana	Motion picture production activities 
area_of_activity	FOLK_ART	TMM	LegalEntityExtenedStructure	BusinessAreaForm	Tautas mâksla un nemateriâlais mantojums	Folk art and intangible heritage
area_of_activity	GENDER_EQUALITY	DZL	LegalEntityExtenedStructure	BusinessAreaForm	Dzimumu lîdztiesîba	Gender equality
